,Change Record,Extra Change,Date,Net Worth,stock_id,buy_price,sell_price,lowest_price,highest_price,buy_date,sell_date,profit(%)
0,2015-01-01-2015-01-11 報酬率:1.71% 本金:1015273.3779999999,每次換手最大報酬 : 47.88%,2015-01-05,1.0,2329,13.4,13.4,13.2,13.7,2015-01-05,2015-01-09,0.0
1,2015-01-11-2015-02-11 報酬率:9.14% 本金:1097463.9139999999,每次換手最小報酬 : -11.89%,2015-01-06,0.999939199417855,1514,9.1,9.35,8.95,9.35,2015-01-05,2015-01-09,2.7472527472527375
2,2015-02-11-2015-03-11 報酬率:2.51% 本金:1121844.2969999998,,2015-01-07,1.0044621806496372,2438,10.2,10.45,10.2,10.45,2015-01-05,2015-01-09,2.450980392156854
3,2015-03-11-2015-04-01 報酬率:5.08% 本金:1168699.1689999998,,2015-01-08,1.0119413782671778,8112,17.05,16.6,16.6,17.05,2015-01-05,2015-01-09,-2.639296187683282
4,2015-04-01-2015-04-11 報酬率:0.58% 本金:1174163.059,,2015-01-09,1.0171049381959658,3051,6.42,7.48,6.42,7.48,2015-01-05,2015-01-09,16.51090342679129
5,2015-04-11-2015-05-16 報酬率:3.07% 本金:1206809.4389999998,,2015-01-12,1.0171049381959658,2499,33.15,32.05,32.05,33.15,2015-01-05,2015-01-09,-3.318250377073906
6,2015-05-16-2015-06-11 報酬率:-5.03% 本金:1155173.974,,2015-01-13,1.027340869529586,2543,11.55,11.5,11.5,11.6,2015-01-05,2015-01-09,-0.43290043290044045
7,2015-06-11-2015-07-11 報酬率:-3.83% 本金:1113896.149,,2015-01-14,1.0467597678856555,3607,57.4,58.6,56.9,58.6,2015-01-05,2015-01-09,2.0905923344947785
8,2015-07-11-2015-08-15 報酬率:-10.25% 本金:1011401.274,,2015-01-15,1.0546228332710907,2442,9.08,9.15,9.08,9.3,2015-01-05,2015-01-09,0.7709251101321701
9,2015-08-15-2015-09-11 報酬率:0.64% 本金:1016671.034,,2015-01-16,1.0495236395359604,1540,23.25,23.0,22.8,23.25,2015-01-05,2015-01-09,-1.0752688172043001
10,2015-09-11-2015-10-11 報酬率:-0.1% 本金:1015878.2339999999,,2015-01-19,1.0488183277278447,2329,14.0,13.7,13.65,14.05,2015-01-12,2015-02-11,-2.1428571428571463
