,Change Record,Extra Change,Date,Net Worth,mdd,stock_id,mfs_score,buy_price,sell_price,lowest_price,highest_price,buy_date,sell_date,profit(%),MAE,BMFE,GMFE
0,2021-09-01-2021-09-11 報酬率:-3.3% 本金:77368782.95,每次換手最大報酬 : 17.45%,2021-09-01,1.0,0.0,2408,88.0,68.1,66.8,64.3,68.1,2021-09-01,2021-09-10,-1.9089574155653377,5.58002936857562,0.0,0.0
1,2021-09-11-2021-10-11 報酬率:-8.75% 本金:70623044.825,每次換手最小報酬 : -17.54%,2021-09-02,0.9795098246821953,-2.0490175317804726,6147,87.0,80.4,74.5,73.3,81.1,2021-09-01,2021-09-10,-7.338308457711451,8.830845771144288,0.87064676616914,0.87064676616914
2,2021-10-11-2021-11-15 報酬率:17.45% 本金:82910889.85000001,,2021-09-03,0.991087235084464,-0.8912764915536053,6261,86.0,89.0,83.5,82.6,89.5,2021-09-01,2021-09-10,-6.17977528089888,7.191011235955062,0.5617977528089888,0.5617977528089888
3,2021-11-15-2021-12-11 報酬率:3.85% 本金:86089009.025,,2021-09-06,0.9747147235072416,-2.5285276492758357,3026,86.0,122.0,117.0,116.0,122.0,2021-09-01,2021-09-10,-4.098360655737709,4.918032786885246,0.0,0.0
4,2021-12-11-2022-01-11 報酬率:0.54% 本金:86552631.42500001,,2021-09-07,0.9686871449460552,-3.1312855053944766,2344,85.0,30.55,30.1,28.85,30.85,2021-09-01,2021-09-10,-1.4729950900163602,5.564648117839605,0.98199672667758,0.98199672667758
5,2022-01-11-2022-02-11 報酬率:1.55% 本金:87886197.95000002,,2021-09-08,0.9451760236268381,-5.482397637316194,1308,84.0,37.0,37.6,35.05,37.6,2021-09-01,2021-09-10,1.6216216216216273,5.270270270270278,0.0,1.6216216216216255
6,2022-02-11-2022-03-11 報酬率:2.28% 本金:89869715.87,,2021-09-09,0.9542895436236722,-4.571045637632776,8021,84.0,42.45,41.9,40.4,42.45,2021-09-01,2021-09-10,-1.2956419316843437,4.829210836277984,0.0,0.0
7,2022-03-11-2022-04-01 報酬率:-0.24% 本金:89654744.27000001,,2021-09-13,0.9670367769387868,-3.2963223061213243,8213,84.0,46.4,45.0,44.55,46.45,2021-09-01,2021-09-10,-3.0172413793103425,3.9870689655172447,0.10775862068966437,0.10775862068966437
8,2022-04-01-2022-04-11 報酬率:-3.84% 本金:86222617.55000001,,2021-09-14,0.973102876238951,-2.6897123761049024,2451,84.0,70.8,68.6,67.6,70.8,2021-09-01,2021-09-10,-3.1073446327683607,4.51977401129944,0.0,0.0
9,2022-04-11-2022-05-16 報酬率:-3.8% 本金:82964391.15,,2021-09-15,0.9447205268822404,-5.527947311775961,2492,83.0,186.5,175.0,174.0,186.5,2021-09-01,2021-09-10,-6.166219839142095,6.702412868632708,0.0,0.0
10,2022-05-16-2022-06-11 報酬率:10.96% 本金:92033308.91,,2021-09-16,0.9531112559223197,-4.688874407768029,2408,87.0,65.8,61.6,61.4,67.2,2021-09-13,2021-10-08,-6.382978723404253,6.686930091185409,2.127659574468094,2.127659574468094
11,2022-06-11-2022-07-11 報酬率:-17.54% 本金:75978429.47999999,,2021-09-17,0.9580072253626427,-4.199277463735729,6147,87.0,73.7,63.3,63.3,73.7,2021-09-13,2021-10-08,-14.111261872455906,14.111261872455911,0.0,0.0
12,2022-07-11-2022-08-15 報酬率:11.71% 本金:84817582.46,,2021-09-22,0.932245846962592,-6.775415303740795,2393,86.0,52.5,46.05,45.65,52.5,2021-09-13,2021-10-08,-12.285714285714288,13.04761904761905,0.0,0.0
13,2022-08-15-2022-09-11 報酬率:3.18% 本金:87504429.64999999,,2021-09-23,0.9509551728025591,-4.9044827197440855,8182,84.0,49.3,43.8,42.45,49.4,2021-09-13,2021-10-08,-11.156186612576068,13.894523326571997,0.202839756592295,0.202839756592295
14,2022-09-11-2022-10-11 報酬率:-12.9% 本金:76269084.35,,2021-09-24,0.9611504923039144,-3.884950769608564,8021,84.0,41.7,38.0,36.5,43.05,2021-09-13,2021-10-08,-8.872901678657087,12.470023980815354,3.237410071942432,3.237410071942432
15,2022-10-11-2022-11-15 報酬率:14.87% 本金:87569592.895,,2021-09-27,0.9577595096763667,-4.224049032363331,3033,83.0,27.65,26.6,26.6,29.4,2021-09-13,2021-10-08,-3.7974683544303667,3.7974683544303693,6.329113924050633,6.329113924050633
16,2022-11-15-2022-12-11 報酬率:3.5% 本金:90616860.895,,2021-09-28,0.9533751897550353,-4.662481024496468,6239,82.0,109.5,100.5,100.0,111.5,2021-09-13,2021-10-08,-8.21917808219178,8.67579908675799,1.82648401826484,1.82648401826484
17,2022-12-11-2023-01-11 報酬率:-3.45% 本金:87518517.67,,2021-09-29,0.9302400962900895,-6.975990370991047,3042,82.0,105.0,100.0,95.7,110.0,2021-09-13,2021-10-08,-4.761904761904767,8.857142857142856,4.761904761904762,4.761904761904762
18,2023-01-11-2023-02-11 報酬率:7.88% 本金:94383983.43,,2021-09-30,0.9299545580229843,-7.004544197701568,3034,82.0,444.0,389.0,389.0,444.0,2021-09-13,2021-10-08,-12.387387387387383,12.387387387387387,0.0,0.0
19,2023-02-11-2023-03-11 報酬率:-2.88% 本金:91682940.87,,2021-10-01,0.9010796751954384,-9.892032480456159,3026,81.0,117.5,111.0,110.0,118.5,2021-09-13,2021-10-08,-5.531914893617018,6.382978723404255,0.851063829787234,0.851063829787234
20,2023-03-11-2023-04-01 報酬率:4.43% 本金:95725076.65,,2021-10-04,0.8840907849541924,-11.590921504580765,8021,85.0,37.9,41.75,36.6,46.2,2021-10-12,2021-11-15,10.158311345646442,3.430079155672816,0.0,21.899736147757267
21,2023-04-01-2023-04-11 報酬率:2.67% 本金:98270473.09,,2021-10-05,0.896154717526838,-10.384528247316204,3221,85.0,27.85,39.2,26.95,39.2,2021-10-12,2021-11-15,40.754039497307005,3.231597845601444,0.0,40.754039497307005
22,2023-04-11-2023-05-16 報酬率:3.7% 本金:101896907.83999999,,2021-10-06,0.875442508712343,-12.455749128765703,2344,85.0,25.05,30.15,24.0,30.15,2021-10-12,2021-11-15,20.35928143712573,4.191616766467068,0.0,20.35928143712574
23,2023-05-16-2023-06-11 報酬率:10.28% 本金:112307587.19999999,,2021-10-07,0.8964694464001715,-10.353055359982854,6261,85.0,81.1,89.4,79.7,89.4,2021-10-12,2021-11-15,10.234278668310747,1.7262638717632446,0.0,10.234278668310742
24,2023-06-11-2023-07-11 報酬率:2.77% 本金:115402632.85,,2021-10-12,0.8824143896401934,-11.758561035980664,2409,84.0,17.05,20.3,16.8,21.1,2021-10-12,2021-11-15,19.061583577712614,1.4662756598240467,0.0,23.753665689149564
25,2023-07-11-2023-08-15 報酬率:-1.05% 本金:114199381.15,,2021-10-13,0.8731349267980486,-12.68650732019514,2408,84.0,61.0,70.3,59.4,70.3,2021-10-12,2021-11-15,15.24590163934425,2.6229508196721336,0.0,15.24590163934426
26,2023-08-15-2023-09-11 報酬率:2.31% 本金:116826094.85499999,,2021-10-14,0.8788124411199542,-12.118755888004584,1709,83.0,20.1,22.8,20.1,22.9,2021-10-12,2021-11-15,13.432835820895516,0.0,3.9800995024875476,13.930348258706452
27,2023-09-11-2023-10-11 報酬率:3.38% 本金:120752870.695,,2021-10-15,0.8993843452525188,-10.061565474748125,3034,83.0,372.0,470.0,371.5,470.0,2021-10-12,2021-11-15,26.344086021505376,0.13440860215053765,0.0,26.344086021505376
28,2023-10-11-2023-11-15 報酬率:2.59% 本金:123869852.815,,2021-10-18,0.9002185261097484,-9.97814738902516,2393,83.0,45.05,51.6,44.65,51.6,2021-10-12,2021-11-15,14.53940066592676,0.8879023307436151,0.0,14.539400665926758
29,2023-11-15-2023-12-05 報酬率:7.25% 本金:132820684.69,,2021-10-19,0.9164380314138606,-8.35619685861394,2352,82.0,29.9,31.2,29.9,33.55,2021-10-12,2021-11-15,4.347826086956519,0.0,1.6722408026755853,12.207357859531768
30,win_rate:66.67%,,2021-10-20,0.9184261316890693,-8.157386831093072,6239,88.0,99.3,96.7,96.2,101.0,2021-11-15,2021-12-10,-2.618328298086603,3.1218529707955636,1.7119838872104762,1.7119838872104762
31,sharpe_ratio:0.94,,2021-10-21,0.9119481881079813,-8.805181189201871,8182,84.0,52.9,58.9,52.9,60.9,2021-11-15,2021-12-10,11.342155009451794,0.0,15.122873345935728,15.122873345935728
32,yearly_roi_fund:18.89%,,2021-10-22,0.9122926423136106,-8.770735768638938,6147,84.0,68.2,66.9,66.2,68.3,2021-11-15,2021-12-10,-1.9061583577712593,2.9325513196480935,0.14662756598239635,0.14662756598239635
33,yearly_roi_algo:19.56%,,2021-10-25,0.9236207748817973,-7.637922511820272,2441,84.0,80.7,76.3,76.2,81.8,2021-11-15,2021-12-10,-5.4522924411400275,5.5762081784386615,1.3630731102849991,1.3630731102849991
34,,,2021-10-26,0.9254577962812869,-7.454220371871312,2337,83.0,42.85,41.4,41.4,43.8,2021-11-15,2021-12-10,-3.3838973162193753,3.3838973162193766,2.217036172695439,2.217036172695439
35,,,2021-10-27,0.9414423333276458,-5.855766667235418,6173,83.0,59.1,59.8,59.1,63.5,2021-11-15,2021-12-10,1.1844331641285955,0.0,0.0,7.445008460236884
36,,,2021-10-28,0.9528951596648758,-4.710484033512419,2484,82.0,38.75,39.4,38.5,43.9,2021-11-15,2021-12-10,1.6774193548387162,0.6451612903225806,13.290322580645158,13.290322580645158
37,,,2021-10-29,0.9541035826650826,-4.589641733491745,6269,82.0,101.5,103.5,100.0,104.5,2021-11-15,2021-12-10,1.9704433497536922,1.477832512315271,0.0,2.955665024630542
38,,,2021-11-01,0.9749276815255292,-2.507231847447078,2408,82.0,70.3,77.8,69.6,79.8,2021-11-15,2021-12-10,10.668563300142253,0.9957325746799472,1.8492176386913188,13.513513513513514
39,,,2021-11-02,0.9605683449985983,-3.9431655001401666,2603,81.0,112.0,140.0,112.0,146.0,2021-11-15,2021-12-10,25.0,0.0,6.696428571428571,30.357142857142854
40,,,2021-11-03,0.9815164359000178,-1.8483564099982197,6147,89.0,66.7,67.9,64.9,67.9,2021-12-13,2022-01-11,1.799100449775115,2.698650674662664,0.0,1.7991004497751164
41,,,2021-11-04,0.9799768277649212,-2.0023172235078768,2408,86.0,76.6,73.5,73.5,78.1,2021-12-13,2022-01-11,-4.046997389033935,4.046997389033936,1.95822454308094,1.95822454308094
42,,,2021-11-05,0.9900570750678943,-0.994292493210569,6239,83.0,97.3,98.1,96.2,100.0,2021-12-13,2022-01-11,0.8221993833504637,1.13052415210688,0.0,2.774922918807814
43,,,2021-11-08,0.9964706979006677,-0.3529302099332332,2393,83.0,51.3,51.7,50.4,53.4,2021-12-13,2022-01-11,0.7797270955165914,1.7543859649122782,0.0,4.093567251461992
44,,,2021-11-09,0.9974185858721758,-0.25814141278242,2409,83.0,22.0,22.85,21.55,23.15,2021-12-13,2022-01-11,3.86363636363638,2.0454545454545423,0.0,5.22727272727272
45,,,2021-11-10,1.0026647970268345,0.0,6188,83.0,44.8,44.65,44.65,49.4,2021-12-13,2022-01-11,-0.33482142857143016,0.33482142857142544,10.267857142857146,10.267857142857146
46,,,2021-11-11,1.0006919082806387,-0.19676453706621855,3033,82.0,29.25,31.0,28.8,32.5,2021-12-13,2022-01-11,5.982905982905984,1.538461538461536,0.0,11.11111111111111
47,,,2021-11-12,1.0153278097104703,0.0,1605,81.0,26.75,25.8,25.6,26.75,2021-12-13,2022-01-11,-3.5514018691588767,4.299065420560742,0.0,0.0
48,,,2021-11-15,1.0363758858061534,0.0,2313,81.0,41.7,42.35,41.7,44.4,2021-12-13,2022-01-11,1.5587529976019088,0.0,2.0383693045563414,6.474820143884881
49,,,2021-11-16,1.0540054453871708,0.0,2504,81.0,27.25,26.85,26.45,30.2,2021-12-13,2022-01-11,-1.4678899082568808,2.935779816513764,10.825688073394494,10.825688073394494
50,,,2021-11-17,1.0721357053498175,0.0,6147,89.0,67.9,69.3,67.8,70.0,2022-01-11,2022-02-11,2.0618556701030855,0.14727540500737632,3.0927835051546304,3.0927835051546304
51,,,2021-11-18,1.0756678408552887,0.0,6239,83.0,98.1,96.2,95.3,99.5,2022-01-11,2022-02-11,-1.9367991845055998,2.854230377166154,1.4271151885830844,1.4271151885830844
52,,,2021-11-19,1.0669768670406488,-0.8079607369994024,2408,82.0,73.5,79.0,72.0,79.0,2022-01-11,2022-02-11,7.48299319727892,2.0408163265306123,2.312925170068031,7.482993197278912
53,,,2021-11-22,1.0864164003746937,0.0,6269,82.0,100.5,97.0,96.3,102.0,2022-01-11,2022-02-11,-3.482587064676612,4.1791044776119435,0.4975124378109453,1.4925373134328357
