,Change Record,Extra Change,Date,Net Worth,mdd,stock_id,mfs_score,buy_price,sell_price,lowest_price,highest_price,buy_date,sell_date,profit(%)
0,2015-01-01-2015-01-11 報酬率:-0.01% 本金:999916.495,每次換手最大報酬 : 16.09%,2015-01-05,1.0,0.0,2428,83.0,45.25,45.1,44.35,45.25,2015-01-05,2015-01-09,-0.33149171270717703
1,2015-01-11-2015-02-11 報酬率:0.91% 本金:1007217.425,每次換手最小報酬 : -15.36%,2015-01-06,0.9940871748830824,-0.5912825116917597,8249,82.0,25.3,24.4,24.4,25.4,2015-01-05,2015-01-09,-3.5573122529644396
2,2015-02-11-2015-03-11 報酬率:6.29% 本金:1058304.8050000002,,2015-01-07,1.0049781813298762,0.0,2542,82.0,63.6,63.6,62.9,63.6,2015-01-05,2015-01-09,0.0
3,2015-03-11-2015-04-01 報酬率:3.4% 本金:1085984.205,,2015-01-08,1.003794919840456,-0.11774001778369625,6108,82.0,24.15,24.3,24.0,24.6,2015-01-05,2015-01-09,0.6211180124223725
4,2015-04-01-2015-04-11 報酬率:2.32% 本金:1106941.9250000003,,2015-01-12,0.9999422663493206,-0.5010969465915727,6220,80.0,18.95,18.65,18.55,19.0,2015-01-05,2015-01-09,-1.58311345646438
5,2015-04-11-2015-05-16 報酬率:-0.3% 本金:1104098.5250000004,,2015-01-13,0.9989377783266695,-0.6010481735248652,5514,80.0,21.3,21.45,20.95,21.6,2015-01-05,2015-01-09,0.7042253521126751
6,2015-05-16-2015-06-11 報酬率:1.45% 本金:1118054.9200000004,,2015-01-14,1.00373975602205,-0.12322907410660111,2387,80.0,21.1,22.4,21.1,22.95,2015-01-05,2015-01-09,6.16113744075828
7,2015-06-11-2015-07-11 報酬率:-1.64% 本金:1101243.2800000003,,2015-01-15,1.0036752607570834,-0.1296466527331619,8213,80.0,53.2,52.0,51.7,53.2,2015-01-05,2015-01-09,-2.2556390977443663
8,2015-07-11-2015-08-15 報酬率:-6.18% 本金:1039843.1260000003,,2015-01-16,0.9932691013411332,-1.1651078805759219,5356,80.0,66.4,65.8,65.3,66.4,2015-01-05,2015-01-09,-0.9036144578313365
9,2015-08-15-2015-09-11 報酬率:3.28% 本金:1070643.9660000002,,2015-01-19,0.9849965350292942,-1.9882666780029479,8905,79.0,23.0,23.25,23.0,23.25,2015-01-05,2015-01-09,1.0869565217391353
10,2015-09-11-2015-10-11 報酬率:4.87% 本金:1118900.3090000004,,2015-01-20,0.9968496321098528,-0.8088284274258561,6108,87.0,23.9,22.25,22.25,24.0,2015-01-12,2015-02-11,-6.903765690376562
11,2015-10-11-2015-11-15 報酬率:9.96% 本金:1222443.4730000002,,2015-01-21,0.999912953274778,-0.5040137337504524,6261,84.0,62.5,64.5,61.1,64.7,2015-01-12,2015-02-11,3.200000000000003
12,2015-11-15-2015-12-11 報酬率:1.91% 本金:1243621.935,,2015-01-22,1.0227098180743142,0.0,2428,83.0,45.1,46.4,43.9,46.5,2015-01-12,2015-02-11,2.882483370288247
13,2015-12-11-2016-01-11 報酬率:-0.64% 本金:1236322.0950000002,,2015-01-23,1.0200907714295815,-0.2560889314296544,4935,83.0,43.85,45.0,43.3,46.85,2015-01-12,2015-02-11,2.6225769669327326
14,2016-01-11-2016-02-11 報酬率:3.97% 本金:1277792.7150000003,,2015-01-26,1.0179114446943476,-0.46918229346830653,2383,83.0,40.75,43.7,40.7,43.7,2015-01-12,2015-02-11,7.239263803680984
15,2016-02-11-2016-03-11 報酬率:7.8% 本金:1363990.5150000004,,2015-01-27,1.0226931052947243,-0.0016341663387264838,2542,82.0,65.2,65.1,64.3,65.7,2015-01-12,2015-02-11,-0.15337423312884457
16,2016-03-11-2016-04-01 報酬率:0.15% 本金:1365797.9400000004,,2015-01-28,1.0217829299283074,-0.09063060993703687,3264,82.0,27.4,25.9,25.9,27.7,2015-01-12,2015-02-11,-5.474452554744524
17,2016-04-01-2016-04-11 報酬率:0.43% 本金:1370931.9250000003,,2015-01-29,1.0157479655837383,-0.680726083541916,1104,82.0,26.0,26.65,26.0,27.9,2015-01-12,2015-02-11,2.499999999999991
18,2016-04-11-2016-05-16 報酬率:-3.47% 本金:1327877.9000000004,,2015-01-30,1.0142492159731125,-0.8272729909968413,1535,81.0,69.1,66.6,66.5,69.1,2015-01-12,2015-02-11,-3.61794500723589
19,2016-05-16-2016-06-11 報酬率:7.26% 本金:1416954.4700000004,,2015-02-02,1.0101059076969114,-1.2324033811599633,2367,81.0,13.3,14.2,13.05,14.2,2015-01-12,2015-02-11,6.766917293233066
20,2016-06-11-2016-07-11 報酬率:7.59% 本金:1513438.5500000005,,2015-02-03,1.0119673847672608,-1.0503891834421353,8249,87.0,25.4,25.4,25.3,26.2,2015-02-11,2015-03-11,0.0
21,2016-07-11-2016-08-15 報酬率:0.86% 本金:1525592.9300000004,,2015-02-04,1.0134271303785984,-0.9076560654511234,8213,85.0,52.4,55.0,52.4,56.0,2015-02-11,2015-03-11,4.961832061068705
22,2016-08-15-2016-09-11 報酬率:0.92% 本金:1538449.0100000005,,2015-02-05,1.0190227164818966,-0.36052275310705095,3105,83.0,34.35,41.0,33.75,41.0,2015-02-11,2015-03-11,19.359534206695784
23,2016-09-11-2016-10-11 報酬率:4.84% 本金:1606533.2900000005,,2015-02-06,1.0174102553791993,-0.5181883073239302,8182,83.0,18.6,18.25,18.05,19.15,2015-02-11,2015-03-11,-1.8817204301075363
24,2016-10-11-2016-11-15 報酬率:-3.26% 本金:1559841.9400000006,,2015-02-09,1.0088800189024765,-1.3522701090205813,2010,83.0,11.55,11.65,11.5,11.7,2015-02-11,2015-03-11,0.8658008658008587
25,2016-11-15-2016-12-11 報酬率:6.39% 本金:1652758.9300000006,,2015-02-10,1.0087774555532538,-1.3622986965446282,2428,83.0,46.4,47.45,45.9,48.1,2015-02-11,2015-03-11,2.2629310344827624
26,2016-12-11-2017-01-11 報酬率:1.7% 本金:1678654.1800000004,,2015-02-11,1.0090034471327194,-1.3402013649778777,6261,83.0,64.5,68.4,64.5,68.4,2015-02-11,2015-03-11,6.046511627906992
27,2017-01-11-2017-02-11 報酬率:6.44% 本金:1778593.3200000005,,2015-02-12,1.0087740450109504,-1.3626321774835248,2383,83.0,43.7,49.7,43.7,49.7,2015-02-11,2015-03-11,13.729977116704806
28,2017-02-11-2017-03-11 報酬率:2.69% 本金:1822365.0000000005,,2015-02-13,1.0059998172806386,-1.6338946295772594,2449,82.0,26.6,29.3,26.45,29.6,2015-02-11,2015-03-11,10.15037593984962
29,2017-03-11-2017-04-01 報酬率:0.87% 本金:1837286.3700000003,,2015-02-24,1.0284638471858407,0.0,8021,81.0,27.85,29.9,27.65,30.15,2015-02-11,2015-03-11,7.360861759425474
30,2017-04-01-2017-04-11 報酬率:1.72% 本金:1866754.2700000005,,2015-02-25,1.0323945171164743,0.0,2915,86.0,65.2,67.7,65.2,68.5,2015-03-11,2015-04-01,3.834355828220848
31,2017-04-11-2017-05-16 報酬率:-0.54% 本金:1857879.1000000006,,2015-02-26,1.0349563339523435,0.0,9943,85.0,41.2,42.85,41.2,44.2,2015-03-11,2015-04-01,4.0048543689320315
32,2017-05-16-2017-06-11 報酬率:2.43% 本金:1897095.6550000005,,2015-03-02,1.031129962029675,-0.36971336829798584,2542,82.0,66.0,74.2,66.0,74.2,2015-03-11,2015-04-01,12.424242424242426
33,2017-06-11-2017-07-11 報酬率:-0.87% 本金:1882748.3980000005,,2015-03-03,1.0425162314265524,0.0,3105,81.0,41.0,40.8,38.2,43.5,2015-03-11,2015-04-01,-0.487804878048792
34,2017-07-11-2017-08-15 報酬率:0.52% 本金:1891272.3420000006,,2015-03-04,1.0431692748201535,0.0,2455,81.0,38.7,38.1,36.9,40.7,2015-03-11,2015-04-01,-1.5503875968992276
35,2017-08-15-2017-09-11 報酬率:12.36% 本金:2111484.2820000006,,2015-03-05,1.0578386755772677,0.0,1535,81.0,69.0,76.3,69.0,77.5,2015-03-11,2015-04-01,10.579710144927535
36,2017-09-11-2017-10-11 報酬率:-1.68% 本金:2079288.7620000006,,2015-03-06,1.0624583698948682,0.0,2908,79.0,20.35,20.8,20.35,21.0,2015-03-11,2015-04-01,2.211302211302213
37,2017-10-11-2017-11-15 報酬率:-1.22% 本金:2056558.9420000005,,2015-03-09,1.0598440122788222,-0.24606682860475182,3264,78.0,27.9,30.35,27.8,30.7,2015-03-11,2015-04-01,8.781362007168457
38,2017-11-15-2017-12-11 報酬率:3.35% 本金:2117838.8170000007,,2015-03-10,1.0709344482562868,0.0,2428,78.0,47.45,45.8,45.5,48.4,2015-03-11,2015-04-01,-3.4773445732349972
39,2017-12-11-2018-01-11 報酬率:6.32% 本金:2237141.4570000004,,2015-03-11,1.0724254729255165,0.0,4935,77.0,46.8,45.7,45.05,48.15,2015-03-11,2015-04-01,-2.350427350427342
40,2018-01-11-2018-02-11 報酬率:-7.7% 本金:2085809.5070000004,,2015-03-12,1.0674949416401862,-0.4597551447449333,9943,83.0,42.85,43.55,42.85,43.9,2015-04-01,2015-04-10,1.6336056009334854
41,2018-02-11-2018-03-11 報酬率:7.63% 本金:2224324.5270000007,,2015-03-13,1.080542845411097,0.0,3005,82.0,19.2,19.05,19.05,19.7,2015-04-01,2015-04-10,-0.7812499999999889
42,2018-03-11-2018-04-01 報酬率:3.04% 本金:2284068.1270000003,,2015-03-16,1.0926941878985612,0.0,2548,81.0,63.5,67.0,63.5,67.6,2015-04-01,2015-04-10,5.5118110236220375
43,2018-04-01-2018-04-11 報酬率:-0.33% 本金:2276997.217,,2015-03-17,1.0915197325215513,-0.1074825317107786,3607,80.0,73.5,78.9,73.5,80.0,2015-04-01,2015-04-10,7.346938775510203
44,2018-04-11-2018-05-16 報酬率:-1.62% 本金:2242300.057,,2015-03-18,1.095491396952708,0.0,1532,80.0,30.8,31.65,30.7,31.65,2015-04-01,2015-04-10,2.759740259740262
45,2018-05-16-2018-06-11 報酬率:3.09% 本金:2304816.937,,2015-03-19,1.1077710057530465,0.0,8131,79.0,23.05,24.1,23.05,25.0,2015-04-01,2015-04-10,4.5553145336225676
46,2018-06-11-2018-07-11 報酬率:-5.28% 本金:2192081.017,,2015-03-20,1.1192754383870105,0.0,1583,79.0,89.4,91.2,88.5,91.3,2015-04-01,2015-04-10,2.0134228187919323
47,2018-07-11-2018-08-15 報酬率:-2.44% 本金:2144838.957,,2015-03-23,1.1099284821768427,-0.8350899063449213,5522,78.0,36.2,36.4,35.85,36.4,2015-04-01,2015-04-10,0.5524861878452914
48,2018-08-15-2018-09-11 報酬率:0.86% 本金:2162265.137,,2015-03-24,1.1069848951323575,-1.098080314561789,9911,78.0,22.7,22.6,22.35,22.7,2015-04-01,2015-04-10,-0.4405286343612258
49,2018-09-11-2018-10-11 報酬率:-8.01% 本金:2003723.207,,2015-03-25,1.1014856073109844,-1.589406009093075,2303,78.0,15.25,15.25,15.25,15.8,2015-04-01,2015-04-10,0.0
50,2018-10-11-2018-11-15 報酬率:1.55% 本金:2032925.2070000002,,2015-03-26,1.1117654228172398,-0.6709711758343784,3005,87.0,19.4,19.55,18.3,19.7,2015-04-13,2015-05-15,0.7731958762886793
51,2018-11-15-2018-12-11 報酬率:7.54% 本金:2165847.867,,2015-03-27,1.1035499566716793,-1.4049697845593068,1532,85.0,32.0,30.1,30.1,32.4,2015-04-13,2015-05-15,-5.937499999999996
52,2018-12-11-2019-01-11 報酬率:0.79% 本金:2181831.147,,2015-03-30,1.1113292487715205,-0.7099404974830192,3607,85.0,78.2,71.2,71.2,79.3,2015-04-13,2015-05-15,-8.951406649616366
