,Change Record,Extra Change,Date,Net Worth,mdd,stock_id,mfs_score,buy_price,sell_price,lowest_price,highest_price,buy_date,sell_date,profit(%)
0,2015-01-01-2015-01-11 報酬率:-0.05% 本金:999596.4750000001,每次換手最大報酬 : 15.61%,2015-01-05,1.0,0.0,2428,83.0,45.25,45.1,44.35,45.25,2015-01-05,2015-01-09,-0.33149171270717703
1,2015-01-11-2015-02-11 報酬率:0.91% 本金:1006897.4050000001,每次換手最小報酬 : -15.42%,2015-01-06,0.9928407039626984,-0.7159296037301588,8249,82.0,25.3,24.4,24.4,25.4,2015-01-05,2015-01-09,-3.5573122529644396
2,2015-02-11-2015-03-11 報酬率:5.97% 本金:1054206.6700000002,,2015-01-07,1.0041114393761776,0.0,6108,82.0,24.15,24.3,24.0,24.6,2015-01-05,2015-01-09,0.6211180124223725
3,2015-03-11-2015-04-01 報酬率:3.17% 本金:1079870.9900000002,,2015-01-08,1.0026006792983895,-0.150457411253746,2542,82.0,63.6,63.6,62.9,63.6,2015-01-05,2015-01-09,0.0
4,2015-04-01-2015-04-11 報酬率:2.72% 本金:1103275.2300000004,,2015-01-12,0.9995046604769321,-0.4587915960909239,5514,80.0,21.3,21.45,20.95,21.6,2015-01-05,2015-01-09,0.7042253521126751
5,2015-04-11-2015-05-16 報酬率:-0.35% 本金:1099935.1800000006,,2015-01-13,0.9985006120495179,-0.5587853206956317,8213,80.0,53.2,52.0,51.7,53.2,2015-01-05,2015-01-09,-2.2556390977443663
6,2015-05-16-2015-06-11 報酬率:1.45% 本金:1113572.5750000007,,2015-01-14,1.0033004882499328,-0.08076306019864088,6220,80.0,18.95,18.65,18.55,19.0,2015-01-05,2015-01-09,-1.58311345646438
7,2015-06-11-2015-07-11 報酬率:0.27% 本金:1116308.7550000006,,2015-01-15,1.0032360212101024,-0.08718336747752797,5356,80.0,66.4,65.8,65.3,66.4,2015-01-05,2015-01-09,-0.9036144578313365
8,2015-07-11-2015-08-15 報酬率:-5.06% 本金:1066015.8970000006,,2015-01-16,0.9928344158535441,-1.1230848569596552,2387,80.0,21.1,22.4,21.1,22.95,2015-01-05,2015-01-09,6.16113744075828
9,2015-08-15-2015-09-11 報酬率:3.02% 本金:1094085.2870000005,,2015-01-19,0.984565469874318,-1.9465936484104662,6261,79.0,61.6,62.0,61.1,62.0,2015-01-05,2015-01-09,0.6493506493506551
10,2015-09-11-2015-10-11 報酬率:4.87% 本金:1142341.6300000004,,2015-01-20,0.9964133796705072,-0.7666539194546962,6108,87.0,23.9,22.25,22.25,24.0,2015-01-12,2015-02-11,-6.903765690376562
11,2015-10-11-2015-11-15 報酬率:9.96% 本金:1246915.6540000003,,2015-01-21,0.9994753602307037,-0.4617096234213025,6261,84.0,62.5,64.5,61.1,64.7,2015-01-12,2015-02-11,3.200000000000003
12,2015-11-15-2015-12-11 報酬率:2.49% 本金:1274347.9840000002,,2015-01-22,1.0222622484123451,0.0,2428,83.0,45.1,46.4,43.9,46.5,2015-01-12,2015-02-11,2.882483370288247
13,2015-12-11-2016-01-11 報酬率:0.54% 本金:1280746.7140000002,,2015-01-23,1.019644347943977,-0.2560889314296766,4935,83.0,43.85,45.0,43.3,46.85,2015-01-12,2015-02-11,2.6225769669327326
14,2016-01-11-2016-02-11 報酬率:4.03% 本金:1327222.6890000002,,2015-01-26,1.0174659749499833,-0.46918229346832874,2383,83.0,40.75,43.7,40.7,43.7,2015-01-12,2015-02-11,7.239263803680984
15,2016-02-11-2016-03-11 報酬率:8.65% 本金:1432869.4640000004,,2015-01-27,1.0222455429467878,-0.0016341663387486882,3264,82.0,27.4,25.9,25.9,27.7,2015-01-12,2015-02-11,-5.474452554744524
16,2016-03-11-2016-04-01 報酬率:-0.13% 本金:1431211.1060000004,,2015-01-28,1.0213357659014528,-0.09063060993704797,2542,82.0,65.2,65.1,64.3,65.7,2015-01-12,2015-02-11,-0.15337423312884457
17,2016-04-01-2016-04-11 報酬率:0.43% 本金:1437056.3110000005,,2015-01-29,1.0153034426452001,-0.6807260835419271,1104,82.0,26.0,26.65,26.0,27.9,2015-01-12,2015-02-11,2.499999999999991
18,2016-04-11-2016-05-16 報酬率:-1.39% 本金:1418420.5810000005,,2015-01-30,1.0138053489340726,-0.8272729909968635,2367,81.0,13.3,14.2,13.05,14.2,2015-01-12,2015-02-11,6.766917293233066
