,Change Record,Extra Change,Date,Net Worth,mdd,stock_id,mfs_score,buy_price,sell_price,lowest_price,highest_price,buy_date,sell_date,profit(%)
0,2015-01-01-2015-01-11 報酬率:-0.05% 本金:999596.4750000001,每次換手最大報酬 : 16.22%,2015-01-05,1.0,0.0,2428,83.0,45.25,45.1,44.35,45.25,2015-01-05,2015-01-09,-0.33149171270717703
1,2015-01-11-2015-02-11 報酬率:0.91% 本金:1006897.4050000001,每次換手最小報酬 : -15.36%,2015-01-06,0.9928407039626984,-0.7159296037301588,8249,82.0,25.3,24.4,24.4,25.4,2015-01-05,2015-01-09,-3.5573122529644396
2,2015-02-11-2015-03-11 報酬率:5.97% 本金:1054206.6700000002,,2015-01-07,1.0041114393761776,0.0,6108,82.0,24.15,24.3,24.0,24.6,2015-01-05,2015-01-09,0.6211180124223725
3,2015-03-11-2015-04-01 報酬率:4.03% 本金:1087500.5150000001,,2015-01-08,1.0026006792983897,-0.1504574112537238,2542,82.0,63.6,63.6,62.9,63.6,2015-01-05,2015-01-09,0.0
4,2015-04-01-2015-04-11 報酬率:2.32% 本金:1108458.2350000003,,2015-01-12,0.9995046604769321,-0.4587915960909239,8213,80.0,53.2,52.0,51.7,53.2,2015-01-05,2015-01-09,-2.2556390977443663
5,2015-04-11-2015-05-16 報酬率:-0.35% 本金:1105118.1850000005,,2015-01-13,0.9985006120495179,-0.5587853206956317,2387,80.0,21.1,22.4,21.1,22.95,2015-01-05,2015-01-09,6.16113744075828
6,2015-05-16-2015-06-11 報酬率:2.97% 本金:1133407.7320000005,,2015-01-14,1.0033004882499328,-0.08076306019864088,5514,80.0,21.3,21.45,20.95,21.6,2015-01-05,2015-01-09,0.7042253521126751
7,2015-06-11-2015-07-11 報酬率:-2.38% 本金:1108775.9220000005,,2015-01-15,1.0032360212101021,-0.08718336747755018,6220,80.0,18.95,18.65,18.55,19.0,2015-01-05,2015-01-09,-1.58311345646438
8,2015-07-11-2015-08-15 報酬率:-5.06% 本金:1058483.0640000005,,2015-01-16,0.9928344158535441,-1.1230848569596552,5356,80.0,66.4,65.8,65.3,66.4,2015-01-05,2015-01-09,-0.9036144578313365
9,2015-08-15-2015-09-11 報酬率:3.24% 本金:1090951.1040000005,,2015-01-19,0.984565469874318,-1.9465936484104662,6261,79.0,61.6,62.0,61.1,62.0,2015-01-05,2015-01-09,0.6493506493506551
