,Change Record,Extra Change,Date,Net Worth,mdd,stock_id,mfs_score,buy_price,sell_price,lowest_price,highest_price,buy_date,sell_date,profit(%)
0,2015-01-01-2015-01-11 報酬率:-0.13% 本金:998929.385,每次換手最大報酬 : 17.27%,2015-01-05,1.0,0.0,2428,83.0,45.25,45.1,44.35,45.25,2015-01-05,2015-01-09,-0.33149171270717703
1,2015-01-11-2015-02-11 報酬率:0.91% 本金:1006230.3150000001,每次換手最小報酬 : -15.36%,2015-01-06,0.9905754691974635,-0.9424530802536468,6108,82.0,24.15,24.3,24.0,24.6,2015-01-05,2015-01-09,0.6211180124223725
2,2015-02-11-2015-03-11 報酬率:6.14% 本金:1055648.105,,2015-01-07,1.0042479695127078,0.0,2542,82.0,63.6,63.6,62.9,63.6,2015-01-05,2015-01-09,0.0
3,2015-03-11-2015-04-01 報酬率:3.4% 本金:1083327.505,,2015-01-08,1.0031817648794752,-0.10616945869952321,8249,82.0,25.3,24.4,24.4,25.4,2015-01-05,2015-01-09,-3.5573122529644396
4,2015-04-01-2015-04-11 報酬率:2.54% 本金:1106480.875,,2015-01-12,0.9987271046993763,-0.5497511551863399,2387,80.0,21.1,22.4,21.1,22.95,2015-01-05,2015-01-09,6.16113744075828
5,2015-04-11-2015-05-16 報酬率:-0.3% 本金:1103637.475,,2015-01-13,0.9977238373625229,-0.6496535067280873,6220,80.0,18.95,18.65,18.55,19.0,2015-01-05,2015-01-09,-1.58311345646438
6,2015-05-16-2015-06-11 報酬率:1.45% 本金:1117593.87,,2015-01-14,1.0025199795418587,-0.17206805722371765,5356,80.0,66.4,65.8,65.3,66.4,2015-01-05,2015-01-09,-0.9036144578313365
7,2015-06-11-2015-07-11 報酬率:-0.1% 本金:1116630.07,,2015-01-15,1.002455562653589,-0.17848249770309188,8213,80.0,53.2,52.0,51.7,53.2,2015-01-05,2015-01-09,-2.2556390977443663
8,2015-07-11-2015-08-15 報酬率:-3.68% 本金:1079932.006,,2015-01-16,0.9920620491335783,-1.213437392862482,5514,80.0,21.3,21.45,20.95,21.6,2015-01-05,2015-01-09,0.7042253521126751
9,2015-08-15-2015-09-11 報酬率:3.28% 本金:1110683.646,,2015-01-19,0.9837995359074695,-2.0361936718837015,4915,79.0,39.0,38.95,37.8,39.1,2015-01-05,2015-01-09,-0.12820512820511665
10,2015-09-11-2015-10-11 報酬率:5.79% 本金:1165971.777,,2015-01-20,0.9956382287274121,-0.85733215766155,6108,87.0,23.9,22.25,22.25,24.0,2015-01-12,2015-02-11,-6.903765690376562
11,2015-10-11-2015-11-15 報酬率:10.2% 本金:1273091.1570000001,,2015-01-21,0.9986978272470144,-0.552666516058431,6261,84.0,62.5,64.5,61.1,64.7,2015-01-12,2015-02-11,3.200000000000003
12,2015-11-15-2015-12-11 報酬率:1.12% 本金:1284956.4370000002,,2015-01-22,1.0214669885712844,0.0,2428,83.0,45.1,46.4,43.9,46.5,2015-01-12,2015-02-11,2.882483370288247
13,2015-12-11-2016-01-11 報酬率:-0.64% 本金:1277262.0370000002,,2015-01-23,1.0188511246753456,-0.2560889314296544,4935,83.0,43.85,45.0,43.3,46.85,2015-01-12,2015-02-11,2.6225769669327326
14,2016-01-11-2016-02-11 報酬率:4.03% 本金:1323738.0120000003,,2015-01-26,1.0166744463272839,-0.46918229346831763,2383,83.0,40.75,43.7,40.7,43.7,2015-01-12,2015-02-11,7.239263803680984
15,2016-02-11-2016-03-11 報酬率:8.76% 本金:1428284.2320000003,,2015-01-27,1.0214502961015954,-0.0016341663387708927,1104,82.0,26.0,26.65,26.0,27.9,2015-01-12,2015-02-11,2.499999999999991
16,2016-03-11-2016-04-01 報酬率:0.15% 本金:1430208.5220000003,,2015-01-28,1.0205412268092364,-0.09063060993707017,3264,82.0,27.4,25.9,25.9,27.7,2015-01-12,2015-02-11,-5.474452554744524
17,2016-04-01-2016-04-11 報酬率:0.43% 本金:1436053.7270000004,,2015-01-29,1.0145135963453096,-0.6807260835419049,2542,82.0,65.2,65.1,64.3,65.7,2015-01-12,2015-02-11,-0.15337423312884457
18,2016-04-11-2016-05-16 報酬率:-1.39% 本金:1417750.9020000005,,2015-01-30,1.0130166680628854,-0.8272729909968413,1535,81.0,69.1,66.6,66.5,69.1,2015-01-12,2015-02-11,-3.61794500723589
19,2016-05-16-2016-06-11 報酬率:7.21% 本金:1510410.2170000006,,2015-02-02,1.008878394866699,-1.2324033811599633,2367,81.0,13.3,14.2,13.05,14.2,2015-01-12,2015-02-11,6.766917293233066
20,2016-06-11-2016-07-11 報酬率:7.59% 本金:1610287.0270000007,,2015-02-03,1.0107376098109,-1.0503891834420909,8249,87.0,25.4,25.4,25.3,26.2,2015-02-11,2015-03-11,0.0
21,2016-07-11-2016-08-15 報酬率:1.0% 本金:1624565.0270000007,,2015-02-04,1.0121955814929362,-0.9076560654511234,8213,85.0,52.4,55.0,52.4,56.0,2015-02-11,2015-03-11,4.961832061068705
22,2016-08-15-2016-09-11 報酬率:0.79% 本金:1636262.5570000007,,2015-02-05,1.0177843676620075,-0.36052275310705095,8182,83.0,18.6,18.25,18.05,19.15,2015-02-11,2015-03-11,-1.8817204301075363
23,2016-09-11-2016-10-11 報酬率:4.84% 本金:1706771.6770000008,,2015-02-06,1.0161738660733342,-0.5181883073239302,2428,83.0,46.4,47.45,45.9,48.1,2015-02-11,2015-03-11,2.2629310344827624
24,2016-10-11-2016-11-15 報酬率:-3.26% 本金:1659425.067000001,,2015-02-09,1.007653995811322,-1.3522701090206035,2010,83.0,11.55,11.65,11.5,11.7,2015-02-11,2015-03-11,0.8658008658008587
25,2016-11-15-2016-12-11 報酬率:6.93% 本金:1768146.372000001,,2015-02-10,1.0075515571003442,-1.362298696544617,2383,83.0,43.7,49.7,43.7,49.7,2015-02-11,2015-03-11,13.729977116704806
26,2016-12-11-2017-01-11 報酬率:1.7% 本金:1796329.8220000009,,2015-02-11,1.0077772740476536,-1.3402013649778777,6261,83.0,64.5,68.4,64.5,68.4,2015-02-11,2015-03-11,6.046511627906992
27,2017-01-11-2017-02-11 報酬率:5.73% 本金:1889708.7670000007,,2015-02-12,1.008668631379549,-1.2529388942501551,3105,83.0,34.35,41.0,33.75,41.0,2015-02-11,2015-03-11,19.359534206695784
28,2017-02-11-2017-03-11 報酬率:1.05% 本金:1908686.9920000006,,2015-02-13,1.006726204112681,-1.4430994465343572,2449,82.0,26.6,29.3,26.45,29.6,2015-02-11,2015-03-11,10.15037593984962
29,2017-03-11-2017-04-01 報酬率:1.86% 本金:1942009.8220000004,,2015-02-24,1.0282931912719522,0.0,3015,81.0,25.4,26.9,25.4,27.4,2015-02-11,2015-03-11,5.905511811023612
30,2017-04-01-2017-04-11 報酬率:1.72% 本金:1973159.8820000007,,2015-02-25,1.0320207031742936,0.0,2915,86.0,65.2,67.7,65.2,68.5,2015-03-11,2015-04-01,3.834355828220848
31,2017-04-11-2017-05-16 報酬率:-0.65% 本金:1961497.9070000008,,2015-02-26,1.0302894545668424,-0.16775328267409906,9943,85.0,41.2,42.85,41.2,44.2,2015-03-11,2015-04-01,4.0048543689320315
32,2017-05-16-2017-06-11 報酬率:2.43% 本金:2004241.6070000008,,2015-03-02,1.0281659054489243,-0.3735194181194945,2542,82.0,66.0,74.2,66.0,74.2,2015-03-11,2015-04-01,12.424242424242426
33,2017-06-11-2017-07-11 報酬率:-0.87% 本金:1988130.0770000007,,2015-03-03,1.0457469263060342,0.0,3105,81.0,41.0,40.8,38.2,43.5,2015-03-11,2015-04-01,-0.487804878048792
34,2017-07-11-2017-08-15 報酬率:0.52% 本金:1997144.537000001,,2015-03-04,1.043131404259895,-0.25011042158911145,2455,81.0,38.7,38.1,36.9,40.7,2015-03-11,2015-04-01,-1.5503875968992276
35,2017-08-15-2017-09-11 報酬率:10.55% 本金:2187445.437000001,,2015-03-05,1.0591367440456705,0.0,1535,81.0,69.0,76.3,69.0,77.5,2015-03-11,2015-04-01,10.579710144927535
36,2017-09-11-2017-10-11 報酬率:-0.42% 本金:2178927.417000001,,2015-03-06,1.063173132164819,0.0,2908,79.0,20.35,20.8,20.35,21.0,2015-03-11,2015-04-01,2.211302211302213
37,2017-10-11-2017-11-15 報酬率:-1.22% 本金:2155056.897000001,,2015-03-09,1.0606730736499124,-0.23515064849466416,3264,78.0,27.9,30.35,27.8,30.7,2015-03-11,2015-04-01,8.781362007168457
38,2017-11-15-2017-12-11 報酬率:3.75% 本金:2225496.897000001,,2015-03-10,1.067658461287942,0.0,2428,78.0,47.45,45.8,45.5,48.4,2015-03-11,2015-04-01,-3.4773445732349972
39,2017-12-11-2018-01-11 報酬率:6.32% 本金:2350604.457000001,,2015-03-11,1.0696555587734853,0.0,4935,77.0,46.8,45.7,45.05,48.15,2015-03-11,2015-04-01,-2.350427350427342
40,2018-01-11-2018-02-11 報酬率:-7.7% 本金:2185785.957000001,,2015-03-12,1.064737762310974,-0.4597551447449444,9943,83.0,42.85,43.55,42.85,43.9,2015-04-01,2015-04-10,1.6336056009334854
41,2018-02-11-2018-03-11 報酬率:7.45% 本金:2334167.607000001,,2015-03-13,1.0777519653033953,0.0,3005,82.0,19.2,19.05,19.05,19.7,2015-04-01,2015-04-10,-0.7812499999999889
42,2018-03-11-2018-04-01 報酬率:2.47% 本金:2388184.0370000005,,2015-03-16,1.0898719226956974,0.0,2548,81.0,63.5,67.0,63.5,67.6,2015-04-01,2015-04-10,5.5118110236220375
43,2018-04-01-2018-04-11 報酬率:-0.29% 本金:2381808.3870000006,,2015-03-17,1.088700500760779,-0.1074825317107897,1532,80.0,30.8,31.65,30.7,31.65,2015-04-01,2015-04-10,2.759740259740262
44,2018-04-11-2018-05-16 報酬率:-1.62% 本金:2346980.0070000007,,2015-03-18,1.0926619069783885,0.0,3607,80.0,73.5,78.9,73.5,80.0,2015-04-01,2015-04-10,7.346938775510203
45,2018-05-16-2018-06-11 報酬率:3.09% 本金:2412701.2170000006,,2015-03-19,1.104909799390916,0.0,1583,79.0,89.4,91.2,88.5,91.3,2015-04-01,2015-04-10,2.0134228187919323
