,Change Record,Extra Change,Date,Net Worth,mdd,stock_id,mfs_score,buy_price,sell_price,lowest_price,highest_price,buy_date,sell_date,profit(%)
0,2015-01-01-2015-01-11 報酬率:0.05% 本金:1000412.075,每次換手最大報酬 : 15.61%,2015-01-05,1.0,0.0,2428,83.0,45.25,45.1,44.35,45.25,2015-01-05,2015-01-09,-0.33149171270717703
1,2015-01-11-2015-02-11 報酬率:0.91% 本金:1007713.005,每次換手最小報酬 : -16.43%,2015-01-06,0.991783233395882,-0.8216766604117964,6108,82.0,24.15,24.3,24.0,24.6,2015-01-05,2015-01-09,0.6211180124223725
2,2015-02-11-2015-03-11 報酬率:5.97% 本金:1055022.27,,2015-01-07,1.006256117128332,0.0,2542,82.0,63.6,63.6,62.9,63.6,2015-01-05,2015-01-09,0.0
3,2015-03-11-2015-04-01 報酬率:4.03% 本金:1088316.115,,2015-01-08,1.0036730181744669,-0.25670392556089716,8249,82.0,25.3,24.4,24.4,25.4,2015-01-05,2015-01-09,-3.5573122529644396
4,2015-04-01-2015-04-11 報酬率:1.87% 本金:1105038.5899999999,,2015-01-12,1.0005375528182356,-0.5683010729332083,2387,80.0,21.1,22.4,21.1,22.95,2015-01-05,2015-01-09,6.16113744075828
5,2015-04-11-2015-05-16 報酬率:-0.35% 本金:1101698.54,,2015-01-13,0.9995324668029322,-0.6681847902289317,8213,80.0,53.2,52.0,51.7,53.2,2015-01-05,2015-01-09,-2.2556390977443663
6,2015-05-16-2015-06-11 報酬率:2.97% 本金:1129988.087,,2015-01-14,1.004337303215703,-0.19068842215884674,5356,80.0,66.4,65.8,65.3,66.4,2015-01-05,2015-01-09,-0.9036144578313365
7,2015-06-11-2015-07-11 報酬率:-2.75% 本金:1102890.962,,2015-01-15,1.0042727695553608,-0.19710166618726044,6220,80.0,18.95,18.65,18.55,19.0,2015-01-05,2015-01-09,-1.58311345646438
8,2015-07-11-2015-08-15 報酬率:-5.06% 本金:1052598.104,,2015-01-16,0.9938604151358571,-1.231863516800269,5514,80.0,21.3,21.45,20.95,21.6,2015-01-05,2015-01-09,0.7042253521126751
9,2015-08-15-2015-09-11 報酬率:3.28% 本金:1083398.9440000001,,2015-01-19,0.9855829239929009,-2.0544663315367973,3264,79.0,26.75,27.2,26.25,27.2,2015-01-05,2015-01-09,1.6822429906542036
10,2015-09-11-2015-10-11 報酬率:6.96% 本金:1151286.088,,2015-01-20,0.9974430774691578,-0.875824703985395,6108,87.0,23.9,22.25,22.25,24.0,2015-01-12,2015-02-11,-6.903765690376562
