,Change Record,Extra Change,Date,Net Worth,mdd,stock_id,mfs_score,buy_price,sell_price,lowest_price,highest_price,buy_date,sell_date,profit(%)
0,2015-01-01-2015-01-11 報酬率:-0.03% 本金:999762.025,每次換手最大報酬 : 18.01%,2015-01-05,1.0,0.0,8249,82.0,25.3,24.4,24.4,25.4,2015-01-05,2015-01-09,-3.5573122529644396
1,2015-01-11-2015-02-11 報酬率:1.11% 本金:1008913.9750000001,每次換手最小報酬 : -15.32%,2015-01-06,0.9917527311620183,-0.8247268837981658,6108,82.0,24.15,24.3,24.0,24.6,2015-01-05,2015-01-09,0.6211180124223725
2,2015-02-11-2015-03-11 報酬率:6.72% 本金:1062929.335,,2015-01-07,1.004593094001479,0.0,2542,82.0,63.6,63.6,62.9,63.6,2015-01-05,2015-01-09,0.0
3,2015-03-11-2015-04-01 報酬率:4.03% 本金:1096223.18,,2015-01-08,1.0031885812675072,-0.13980911698061593,5514,80.0,21.3,21.45,20.95,21.6,2015-01-05,2015-01-09,0.7042253521126751
4,2015-04-01-2015-04-11 報酬率:2.01% 本金:1113859.9249999998,,2015-01-12,0.9997079470614345,-0.486281158930324,8213,80.0,53.2,52.0,51.7,53.2,2015-01-05,2015-01-09,-2.2556390977443663
5,2015-04-11-2015-05-16 報酬率:-0.81% 本金:1106185.1749999998,,2015-01-13,0.9975987350244951,-0.6962380110661415,5356,80.0,66.4,65.8,65.3,66.4,2015-01-05,2015-01-09,-0.9036144578313365
6,2015-05-16-2015-06-11 報酬率:0.94% 本金:1114936.199,,2015-01-14,1.003649222392743,-0.09395561390695972,2387,80.0,21.1,22.4,21.1,22.95,2015-01-05,2015-01-09,6.16113744075828
7,2015-06-11-2015-07-11 報酬率:-0.56% 本金:1109403.119,,2015-01-15,1.003481825326441,-0.11061878502582889,6220,80.0,18.95,18.65,18.55,19.0,2015-01-05,2015-01-09,-1.58311345646438
8,2015-07-11-2015-08-15 報酬率:-6.41% 本金:1047435.7259999999,,2015-01-16,0.9920663620940269,-1.2469458512357257,4915,79.0,39.0,38.95,37.8,39.1,2015-01-05,2015-01-09,-0.12820512820511665
9,2015-08-15-2015-09-11 報酬率:3.57% 本金:1082005.821,,2015-01-19,0.9838268066751819,-2.0671341909768715,6261,79.0,61.6,62.0,61.1,62.0,2015-01-05,2015-01-09,0.6493506493506551
10,2015-09-11-2015-10-11 報酬率:4.92% 本金:1129031.1809999999,,2015-01-20,0.994974134609079,-0.9574980606412264,6108,87.0,23.9,22.25,22.25,24.0,2015-01-12,2015-02-11,-6.903765690376562
11,2015-10-11-2015-11-15 報酬率:11.08% 本金:1238555.873,,2015-01-21,0.9999990642851966,-0.4573025380836926,6261,84.0,62.5,64.5,61.1,64.7,2015-01-12,2015-02-11,3.200000000000003
12,2015-11-15-2015-12-11 報酬率:0.49% 本金:1243886.3379999998,,2015-01-22,1.024949047371437,0.0,4935,83.0,43.85,45.0,43.3,46.85,2015-01-12,2015-02-11,2.6225769669327326
13,2015-12-11-2016-01-11 報酬率:-1.97% 本金:1221518.9579999996,,2015-01-23,1.0218558156539541,-0.3017937062740672,2428,83.0,45.1,46.4,43.9,46.5,2015-01-12,2015-02-11,2.882483370288247
14,2016-01-11-2016-02-11 報酬率:4.6% 本金:1269798.2579999997,,2015-01-26,1.0198634337618615,-0.4961820904773817,2383,83.0,40.75,43.7,40.7,43.7,2015-01-12,2015-02-11,7.239263803680984
15,2016-02-11-2016-03-11 報酬率:7.98% 本金:1358009.1779999998,,2015-01-27,1.0243963814125179,-0.05392131056042304,3264,82.0,27.4,25.9,25.9,27.7,2015-01-12,2015-02-11,-5.474452554744524
16,2016-03-11-2016-04-01 報酬率:1.72% 本金:1378688.738,,2015-01-28,1.0229494758102746,-0.1950898502018794,1104,82.0,26.0,26.65,26.0,27.9,2015-01-12,2015-02-11,2.499999999999991
17,2016-04-01-2016-04-11 報酬率:-0.22% 本金:1376132.888,,2015-01-29,1.017463555436794,-0.7303282005910794,2542,82.0,65.2,65.1,64.3,65.7,2015-01-12,2015-02-11,-0.15337423312884457
18,2016-04-11-2016-05-16 報酬率:-4.23% 本金:1323314.993,,2015-01-30,1.015272851716461,-0.9440660177002291,2367,81.0,13.3,14.2,13.05,14.2,2015-01-12,2015-02-11,6.766917293233066
