,Change Record,Extra Change,Date,Net Worth,stock_id,buy_price,sell_price,lowest_price,highest_price,buy_date,sell_date,profit(%)
0,2021-01-01-2021-01-31 報酬率:5.24%本金:1052400.0,每次換手最大報酬 : 14.55%,2021-01-05,1.0,6201,38.2,39.6,28.9,44.45,2021-01-05,2021-01-29,3.6649214659685736
1,2021-01-31-2021-03-02 報酬率:13.56%本金:1195105.44,每次換手最小報酬 : -2.5%,2021-01-06,0.980016467519329,3015,42.65,41.85,23.75,42.65,2021-01-05,2021-01-29,-1.875732708089095
2,2021-03-02-2021-04-01 報酬率:9.57%本金:1309477.0306079998,,2021-01-07,0.9897394310538382,3679,107.5,103.0,74.8,110.0,2021-01-05,2021-01-29,-4.1860465116279055
3,2021-04-01-2021-05-01 報酬率:10.93%本金:1452602.870053454,,2021-01-08,0.9799750722072791,2441,55.4,63.5,52.8,70.0,2021-01-05,2021-01-29,14.620938628158854
4,2021-05-01-2021-05-31 報酬率:-0.24%本金:1449116.6231653257,,2021-01-11,1.0115447664139507,1589,84.4,77.8,67.4,84.4,2021-01-05,2021-01-29,-7.81990521327015
5,2021-05-31-2021-06-30 報酬率:14.55%本金:1659963.0918358807,,2021-01-12,1.0157767186659752,3264,39.75,41.65,38.55,44.25,2021-01-05,2021-01-29,4.779874213836477
6,2021-06-30-2021-07-30 報酬率:7.27%本金:1780642.408612349,,2021-01-13,1.038085832031398,5487,37.85,35.45,34.9,37.85,2021-01-05,2021-01-29,-6.340819022457067
7,2021-07-30-2021-08-29 報酬率:-2.5%本金:1736126.3483970403,,2021-01-14,1.0449220446033032,2401,18.05,25.1,16.3,27.2,2021-01-05,2021-01-29,39.05817174515236
8,2021-08-29-2021-09-28 報酬率:-1.13%本金:1716508.1206601537,,2021-01-15,1.019408487787158,2107,22.75,23.9,22.65,24.55,2021-02-02,2021-03-02,5.054945054945059
9,,,2021-01-18,1.042527527396551,6261,61.3,62.2,60.5,63.7,2021-02-02,2021-03-02,1.4681892332789603
